original,after
"[394, 436, 1415.0]","[0.20897703549060553, 1.7757142857142858, -0.8999999999999999]"
"[389, 433, 1364.0]","[0.18601252609603347, 1.6154285714285712, -0.885]"
"[387, 435, 1260.0]","[0.17682672233820473, 1.2885714285714287, -0.8950000000000002]"
"[391, 438, 1203.0]","[0.1951983298538622, 1.1094285714285714, -0.9100000000000001]"
"[404, 450, 1098.0]","[0.25490605427974944, 0.7794285714285716, -0.9700000000000002]"
"[418, 460, 1045.0]","[0.31920668058455104, 0.612857142857143, -1.02]"
"[434, 472, 994.0]","[0.3926931106471816, 0.4525714285714286, -1.08]"
"[499, 503, 919.0]","[0.6912317327766182, 0.21685714285714286, -1.2349999999999999]"
"[577, 528, 843.0]","[1.0494780793319416, -0.02200000000000002, -1.3599999999999999]"
"[719, 556, 931.0]","[1.7016701461377872, 0.25457142857142867, -1.5000000000000004]"
"[699, 551, 965.0]","[1.609812108559499, 0.36142857142857143, -1.475]"
"[719, 566, 1051.0]","[1.7016701461377872, 0.6317142857142857, -1.5500000000000003]"
"[719, 567, 1080.0]","[1.7016701461377872, 0.7228571428571431, -1.5550000000000002]"
"[719, 568, 1081.0]","[1.7016701461377872, 0.726, -1.56]"
"[719, 559, 1259.0]","[1.7016701461377872, 1.2854285714285716, -1.5150000000000001]"
"[719, 553, 1265.0]","[1.7016701461377872, 1.3042857142857143, -1.4850000000000003]"
"[719, 551, 1269.0]","[1.7016701461377872, 1.3168571428571427, -1.475]"
"[719, 544, 1280.0]","[1.7016701461377872, 1.3514285714285714, -1.44]"
"[719, 542, 1280.0]","[1.7016701461377872, 1.3514285714285714, -1.4299999999999997]"
"[719, 542, 1279.0]","[1.7016701461377872, 1.3482857142857143, -1.4299999999999997]"
"[719, 540, 1281.0]","[1.7016701461377872, 1.3545714285714285, -1.4200000000000004]"
"[719, 539, 1281.0]","[1.7016701461377872, 1.3545714285714285, -1.415]"
"[719, 537, 1276.0]","[1.7016701461377872, 1.338857142857143, -1.4050000000000002]"
"[719, 537, 1278.0]","[1.7016701461377872, 1.3451428571428572, -1.4050000000000002]"
"[719, 534, 1272.0]","[1.7016701461377872, 1.326285714285714, -1.3900000000000001]"
"[719, 533, 1262.0]","[1.7016701461377872, 1.294857142857143, -1.3850000000000002]"
"[719, 532, 1245.0]","[1.7016701461377872, 1.2414285714285715, -1.38]"
"[719, 530, 1233.0]","[1.7016701461377872, 1.2037142857142857, -1.37]"
"[719, 528, 1224.0]","[1.7016701461377872, 1.1754285714285713, -1.3599999999999999]"
"[719, 526, 1196.0]","[1.7016701461377872, 1.0874285714285716, -1.35]"
"[719, 524, 1194.0]","[1.7016701461377872, 1.0811428571428574, -1.3400000000000003]"
"[719, 522, 1185.0]","[1.7016701461377872, 1.052857142857143, -1.33]"
"[719, 522, 1177.0]","[1.7016701461377872, 1.027714285714286, -1.33]"
"[719, 522, 1166.0]","[1.7016701461377872, 0.9931428571428573, -1.33]"
"[719, 522, 1121.0]","[1.7016701461377872, 0.8517142857142856, -1.33]"
"[719, 523, 1091.0]","[1.7016701461377872, 0.7574285714285716, -1.3350000000000004]"
"[719, 520, 1039.0]","[1.7016701461377872, 0.5940000000000001, -1.3200000000000003]"
"[719, 516, 1044.0]","[1.7016701461377872, 0.6097142857142857, -1.2999999999999998]"
"[719, 510, 986.0]","[1.7016701461377872, 0.4274285714285715, -1.2700000000000005]"
"[719, 509, 936.0]","[1.7016701461377872, 0.27028571428571446, -1.2650000000000001]"
"[645, 499, 974.0]","[1.3617954070981209, 0.3897142857142857, -1.2149999999999999]"
"[528, 495, 913.0]","[0.8244258872651358, 0.19799999999999995, -1.1950000000000003]"
"[456, 473, 963.0]","[0.4937369519832986, 0.3551428571428572, -1.085]"
"[418, 459, 1131.0]","[0.31920668058455104, 0.8831428571428572, -1.0150000000000001]"
"[405, 457, 1172.0]","[0.2594989561586638, 1.012, -1.005]"
"[380, 448, 1269.0]","[0.14467640918580393, 1.3168571428571427, -0.96]"
"[389, 453, 1287.0]","[0.18601252609603347, 1.3734285714285717, -0.9850000000000003]"
"[376, 449, 1363.0]","[0.12630480167014602, 1.6122857142857145, -0.9649999999999999]"
"[366, 447, 1401.0]","[0.08037578288100211, 1.7317142857142858, -0.9550000000000001]"
"[364, 447, 1436.0]","[0.07118997912317315, 1.841714285714286, -0.9550000000000001]"
"[368, 455, 1514.0]","[0.08956158663883085, 2.086857142857143, -0.9950000000000001]"
"[371, 460, 1544.0]","[0.10334029227557395, 2.181142857142857, -1.02]"
"[373, 465, 1550.0]","[0.11252609603340291, 2.2, -1.045]"
"[375, 472, 1578.0]","[0.12171189979123165, 2.2880000000000003, -1.08]"
"[375, 475, 1578.0]","[0.12171189979123165, 2.2880000000000003, -1.0950000000000002]"
"[373, 477, 1577.0]","[0.11252609603340291, 2.2848571428571427, -1.105]"
"[379, 477, 1563.0]","[0.14008350730688957, 2.2408571428571427, -1.105]"
"[373, 477, 1567.0]","[0.11252609603340291, 2.2534285714285716, -1.105]"
"[371, 477, 1550.0]","[0.10334029227557395, 2.2, -1.105]"
"[368, 476, 1535.0]","[0.08956158663883085, 2.152857142857143, -1.1]"
"[367, 475, 1533.0]","[0.08496868475991648, 2.146571428571429, -1.0950000000000002]"
"[366, 474, 1524.0]","[0.08037578288100211, 2.1182857142857143, -1.0900000000000003]"
"[368, 472, 1501.0]","[0.08956158663883085, 2.046, -1.08]"
"[363, 473, 1514.0]","[0.06659707724425878, 2.086857142857143, -1.085]"
"[362, 471, 1509.0]","[0.062004175365344416, 2.0711428571428576, -1.0750000000000002]"
"[361, 469, 1497.0]","[0.05741127348643005, 2.033428571428572, -1.065]"
"[360, 469, 1499.0]","[0.05281837160751568, 2.0397142857142856, -1.065]"
"[361, 468, 1490.0]","[0.05741127348643005, 2.0114285714285716, -1.06]"
"[361, 466, 1482.0]","[0.05741127348643005, 1.9862857142857142, -1.0500000000000003]"
"[361, 466, 1483.0]","[0.05741127348643005, 1.9894285714285718, -1.0500000000000003]"
"[363, 464, 1483.0]","[0.06659707724425878, 1.9894285714285718, -1.04]"
"[363, 462, 1483.0]","[0.06659707724425878, 1.9894285714285718, -1.0299999999999998]"
"[366, 461, 1481.0]","[0.08037578288100211, 1.9831428571428575, -1.0250000000000004]"
"[367, 459, 1487.0]","[0.08496868475991648, 2.002, -1.0150000000000001]"
