original,after
"[622, 560, 930.0]","[1.25615866388309, 0.25142857142857156, -1.52]"
"[613, 555, 937.0]","[1.2148225469728602, 0.2734285714285716, -1.495]"
"[594, 545, 944.0]","[1.1275574112734863, 0.2954285714285714, -1.4449999999999998]"
"[584, 540, 950.0]","[1.0816283924843422, 0.3142857142857145, -1.4200000000000004]"
"[566, 533, 959.0]","[0.9989561586638831, 0.3425714285714285, -1.3850000000000002]"
"[558, 530, 979.0]","[0.9622129436325677, 0.40542857142857147, -1.37]"
"[542, 524, 995.0]","[0.8887265135699374, 0.45571428571428574, -1.3400000000000003]"
"[535, 520, 998.0]","[0.8565762004175366, 0.4651428571428571, -1.3200000000000003]"
"[528, 517, 1015.0]","[0.8244258872651358, 0.5185714285714287, -1.3050000000000002]"
"[514, 511, 1021.0]","[0.7601252609603342, 0.5374285714285716, -1.2750000000000004]"
"[508, 508, 1030.0]","[0.7325678496868477, 0.5657142857142856, -1.2600000000000002]"
"[499, 502, 1048.0]","[0.6912317327766182, 0.6222857142857143, -1.23]"
"[494, 499, 1052.0]","[0.6682672233820459, 0.634857142857143, -1.2149999999999999]"
"[489, 495, 1068.0]","[0.6453027139874739, 0.685142857142857, -1.1950000000000003]"
"[487, 494, 1072.0]","[0.6361169102296451, 0.6977142857142857, -1.1900000000000004]"
"[485, 493, 1079.0]","[0.6269311064718164, 0.7197142857142858, -1.185]"
"[485, 490, 1085.0]","[0.6269311064718164, 0.7385714285714287, -1.17]"
"[483, 489, 1083.0]","[0.6177453027139874, 0.7322857142857144, -1.165]"
"[480, 486, 1093.0]","[0.6039665970772443, 0.7637142857142858, -1.15]"
"[477, 484, 1097.0]","[0.590187891440501, 0.7762857142857145, -1.1399999999999997]"
"[474, 480, 1118.0]","[0.5764091858037579, 0.8422857142857145, -1.12]"
"[472, 478, 1125.0]","[0.5672233820459291, 0.8642857142857145, -1.1100000000000003]"
"[470, 476, 1119.0]","[0.5580375782881002, 0.8454285714285714, -1.1]"
"[465, 474, 1142.0]","[0.5350730688935283, 0.9177142857142857, -1.0900000000000003]"
"[460, 472, 1133.0]","[0.5121085594989563, 0.8894285714285715, -1.08]"
"[457, 471, 1135.0]","[0.49832985386221296, 0.8957142857142857, -1.0750000000000002]"
"[450, 469, 1127.0]","[0.46617954070981216, 0.8705714285714286, -1.065]"
"[447, 470, 1135.0]","[0.45240083507306905, 0.8957142857142857, -1.0699999999999998]"
"[442, 470, 1144.0]","[0.429436325678497, 0.9240000000000004, -1.0699999999999998]"
"[403, 619, 1341.0]","[0.25031315240083507, 1.5431428571428576, -1.815]"
"[435, 470, 1148.0]","[0.39728601252609597, 0.9365714285714288, -1.0699999999999998]"
"[398, 620, 1354.0]","[0.227348643006263, 1.584, -1.8200000000000003]"
"[425, 470, 1166.0]","[0.35135699373695184, 0.9931428571428573, -1.0699999999999998]"
"[393, 623, 1352.0]","[0.20438413361169117, 1.5777142857142858, -1.835]"
"[415, 470, 1157.0]","[0.30542797494780793, 0.9648571428571429, -1.0699999999999998]"
"[390, 625, 1356.0]","[0.19060542797494784, 1.5902857142857143, -1.8450000000000002]"
"[403, 469, 1162.0]","[0.25031315240083507, 0.9805714285714289, -1.065]"
"[386, 627, 1393.0]","[0.17223382045929037, 1.7065714285714289, -1.8550000000000004]"
"[391, 468, 1158.0]","[0.1951983298538622, 0.968, -1.06]"
"[384, 631, 1356.0]","[0.1630480167014614, 1.5902857142857143, -1.875]"
"[385, 468, 1165.0]","[0.16764091858037578, 0.9899999999999998, -1.06]"
"[378, 638, 1363.0]","[0.13549060542797475, 1.6122857142857145, -1.9100000000000001]"
"[365, 469, 1165.0]","[0.07578288100208752, 0.9899999999999998, -1.065]"
"[374, 643, 1382.0]","[0.11711899791231728, 1.6720000000000002, -1.9350000000000005]"
"[348, 470, 1165.0]","[-0.002296450939457184, 0.9899999999999998, -1.0699999999999998]"
"[372, 647, 1386.0]","[0.10793319415448854, 1.684571428571429, -1.955]"
"[334, 471, 1179.0]","[-0.06659707724425878, 1.0339999999999998, -1.0750000000000002]"
"[370, 649, 1409.0]","[0.09874739039665958, 1.7568571428571427, -1.9649999999999999]"
"[325, 471, 1170.0]","[-0.10793319415448854, 1.0057142857142858, -1.0750000000000002]"
"[366, 647, 1405.0]","[0.08037578288100211, 1.7442857142857147, -1.955]"
"[310, 471, 1186.0]","[-0.17682672233820462, 1.056, -1.0750000000000002]"
"[363, 646, 1403.0]","[0.06659707724425878, 1.7380000000000004, -1.9500000000000002]"
"[292, 470, 1189.0]","[-0.2594989561586639, 1.0654285714285714, -1.0699999999999998]"
"[362, 644, 1403.0]","[0.062004175365344416, 1.7380000000000004, -1.9400000000000004]"
"[277, 468, 1194.0]","[-0.3283924843423799, 1.0811428571428574, -1.06]"
"[361, 642, 1405.0]","[0.05741127348643005, 1.7442857142857147, -1.9300000000000002]"
"[263, 467, 1197.0]","[-0.3926931106471817, 1.0905714285714287, -1.0550000000000002]"
"[360, 642, 1412.0]","[0.05281837160751568, 1.7662857142857145, -1.9300000000000002]"
"[252, 466, 1197.0]","[-0.4432150313152401, 1.0905714285714287, -1.0500000000000003]"
"[359, 640, 1420.0]","[0.04822546972860131, 1.7914285714285714, -1.9200000000000004]"
"[245, 465, 1212.0]","[-0.4753653444676409, 1.137714285714286, -1.045]"
"[357, 639, 1425.0]","[0.03903966597077235, 1.8071428571428574, -1.915]"
"[241, 466, 1220.0]","[-0.4937369519832986, 1.1628571428571428, -1.0500000000000003]"
"[358, 636, 1432.0]","[0.04363256784968672, 1.8291428571428572, -1.9]"
"[240, 467, 1220.0]","[-0.49832985386221307, 1.1628571428571428, -1.0550000000000002]"
"[357, 637, 1444.0]","[0.03903966597077235, 1.866857142857143, -1.9050000000000002]"
"[240, 467, 1233.0]","[-0.49832985386221307, 1.2037142857142857, -1.0550000000000002]"
"[357, 636, 1447.0]","[0.03903966597077235, 1.8762857142857143, -1.9]"
"[240, 466, 1241.0]","[-0.49832985386221307, 1.2288571428571426, -1.0500000000000003]"
"[357, 634, 1447.0]","[0.03903966597077235, 1.8762857142857143, -1.8900000000000001]"
"[241, 465, 1239.0]","[-0.4937369519832986, 1.2225714285714284, -1.045]"
"[356, 635, 1435.0]","[0.034446764091857984, 1.8385714285714285, -1.895]"
"[240, 464, 1241.0]","[-0.49832985386221307, 1.2288571428571426, -1.04]"
"[356, 634, 1444.0]","[0.034446764091857984, 1.866857142857143, -1.8900000000000001]"
"[239, 463, 1244.0]","[-0.5029227557411274, 1.2382857142857144, -1.0350000000000001]"
"[357, 634, 1436.0]","[0.03903966597077235, 1.841714285714286, -1.8900000000000001]"
"[239, 463, 1244.0]","[-0.5029227557411274, 1.2382857142857144, -1.0350000000000001]"
"[356, 633, 1450.0]","[0.034446764091857984, 1.8857142857142861, -1.8850000000000002]"
"[238, 463, 1247.0]","[-0.5075156576200418, 1.2477142857142858, -1.0350000000000001]"
"[357, 634, 1442.0]","[0.03903966597077235, 1.8605714285714288, -1.8900000000000001]"
"[236, 463, 1253.0]","[-0.5167014613778707, 1.2665714285714285, -1.0350000000000001]"
"[357, 633, 1435.0]","[0.03903966597077235, 1.8385714285714285, -1.8850000000000002]"
"[233, 464, 1255.0]","[-0.5304801670146139, 1.2728571428571427, -1.04]"
"[356, 633, 1449.0]","[0.034446764091857984, 1.8825714285714286, -1.8850000000000002]"
"[230, 467, 1258.0]","[-0.5442588726513571, 1.2822857142857145, -1.0550000000000002]"
"[356, 633, 1440.0]","[0.034446764091857984, 1.854285714285714, -1.8850000000000002]"
"[226, 469, 1260.0]","[-0.5626304801670147, 1.2885714285714287, -1.065]"
"[356, 634, 1448.0]","[0.034446764091857984, 1.8794285714285714, -1.8900000000000001]"
"[223, 471, 1262.0]","[-0.5764091858037579, 1.294857142857143, -1.0750000000000002]"
"[355, 633, 1451.0]","[0.029853862212943616, 1.8888571428571428, -1.8850000000000002]"
"[222, 473, 1261.0]","[-0.5810020876826723, 1.2917142857142858, -1.085]"
"[355, 633, 1449.0]","[0.029853862212943616, 1.8825714285714286, -1.8850000000000002]"
"[222, 473, 1263.0]","[-0.5810020876826723, 1.2980000000000005, -1.085]"
"[355, 632, 1452.0]","[0.029853862212943616, 1.8920000000000003, -1.88]"
"[221, 474, 1264.0]","[-0.5855949895615867, 1.3011428571428572, -1.0900000000000003]"
"[355, 632, 1458.0]","[0.029853862212943616, 1.910857142857143, -1.88]"
"[222, 472, 1267.0]","[-0.5810020876826723, 1.3105714285714285, -1.08]"
"[354, 632, 1462.0]","[0.025260960334029248, 1.9234285714285715, -1.88]"
"[222, 473, 1263.0]","[-0.5810020876826723, 1.2980000000000005, -1.085]"
"[354, 632, 1452.0]","[0.025260960334029248, 1.8920000000000003, -1.88]"
"[223, 472, 1259.0]","[-0.5764091858037579, 1.2854285714285716, -1.08]"
"[354, 632, 1460.0]","[0.025260960334029248, 1.9171428571428573, -1.88]"
"[224, 473, 1258.0]","[-0.5718162839248435, 1.2822857142857145, -1.085]"
"[354, 632, 1462.0]","[0.025260960334029248, 1.9234285714285715, -1.88]"
"[226, 472, 1256.0]","[-0.5626304801670147, 1.2760000000000002, -1.08]"
"[354, 633, 1457.0]","[0.025260960334029248, 1.907714285714286, -1.8850000000000002]"
"[228, 472, 1248.0]","[-0.5534446764091858, 1.250857142857143, -1.08]"
"[354, 635, 1447.0]","[0.025260960334029248, 1.8762857142857143, -1.895]"
"[231, 471, 1243.0]","[-0.5396659707724426, 1.2351428571428573, -1.0750000000000002]"
"[355, 637, 1446.0]","[0.029853862212943616, 1.8731428571428572, -1.9050000000000002]"
"[233, 470, 1240.0]","[-0.5304801670146139, 1.225714285714286, -1.0699999999999998]"
"[355, 637, 1432.0]","[0.029853862212943616, 1.8291428571428572, -1.9050000000000002]"
"[236, 470, 1228.0]","[-0.5167014613778707, 1.1880000000000002, -1.0699999999999998]"
"[356, 637, 1433.0]","[0.034446764091857984, 1.8322857142857147, -1.9050000000000002]"
"[241, 468, 1214.0]","[-0.4937369519832986, 1.1440000000000001, -1.06]"
"[357, 639, 1428.0]","[0.03903966597077235, 1.8165714285714287, -1.915]"
"[248, 468, 1208.0]","[-0.4615866388308977, 1.125142857142857, -1.06]"
"[359, 638, 1429.0]","[0.04822546972860131, 1.8197142857142858, -1.9100000000000001]"
"[259, 470, 1195.0]","[-0.4110647181628393, 1.0842857142857145, -1.0699999999999998]"
"[361, 640, 1420.0]","[0.05741127348643005, 1.7914285714285714, -1.9200000000000004]"
"[277, 475, 1175.0]","[-0.3283924843423799, 1.0214285714285714, -1.0950000000000002]"
"[365, 640, 1418.0]","[0.07578288100208752, 1.7851428571428571, -1.9200000000000004]"
"[369, 639, 1418.0]","[0.09415448851774522, 1.7851428571428571, -1.915]"
"[379, 547, 1113.0]","[0.14008350730688957, 0.8265714285714285, -1.455]"
"[373, 636, 1393.0]","[0.11252609603340291, 1.7065714285714289, -1.9]"
"[378, 638, 1385.0]","[0.13549060542797475, 1.6814285714285715, -1.9100000000000001]"
"[474, 597, 1108.0]","[0.5764091858037579, 0.8108571428571429, -1.705]"
"[385, 640, 1339.0]","[0.16764091858037578, 1.536857142857143, -1.9200000000000004]"
"[392, 641, 1321.0]","[0.1997912317327768, 1.4802857142857144, -1.9250000000000003]"
"[400, 643, 1289.0]","[0.23653444676409197, 1.379714285714286, -1.9350000000000005]"
"[557, 625, 1127.0]","[0.9576200417536533, 0.8705714285714286, -1.8450000000000002]"
"[398, 643, 1294.0]","[0.227348643006263, 1.3954285714285715, -1.9350000000000005]"
"[408, 651, 1263.0]","[0.27327766179540713, 1.2980000000000005, -1.975]"
"[424, 656, 1220.0]","[0.34676409185803747, 1.1628571428571428, -2.0000000000000004]"
"[622, 628, 1200.0]","[1.25615866388309, 1.1, -1.8600000000000003]"
"[417, 650, 1233.0]","[0.31461377870563667, 1.2037142857142857, -1.9700000000000002]"
"[642, 628, 1205.0]","[1.3480167014613778, 1.1157142857142857, -1.8600000000000003]"
"[429, 651, 1211.0]","[0.36972860125260953, 1.1345714285714288, -1.975]"
"[440, 652, 1188.0]","[0.42025052192066825, 1.0622857142857143, -1.98]"
"[451, 652, 1165.0]","[0.4707724425887265, 0.9899999999999998, -1.98]"
"[675, 631, 1249.0]","[1.4995824634655537, 1.2540000000000004, -1.875]"
"[456, 653, 1160.0]","[0.4937369519832986, 0.9742857142857142, -1.9850000000000003]"
"[685, 632, 1289.0]","[1.5455114822546974, 1.379714285714286, -1.88]"
"[464, 652, 1150.0]","[0.5304801670146138, 0.9428571428571431, -1.98]"
"[692, 634, 1276.0]","[1.5776617954070984, 1.338857142857143, -1.8900000000000001]"
"[469, 652, 1136.0]","[0.5534446764091858, 0.898857142857143, -1.98]"
"[701, 635, 1268.0]","[1.6189979123173277, 1.313714285714286, -1.895]"
"[473, 651, 1133.0]","[0.5718162839248435, 0.8894285714285715, -1.975]"
"[472, 650, 1120.0]","[0.5672233820459291, 0.8485714285714285, -1.9700000000000002]"
"[712, 637, 1274.0]","[1.6695198329853862, 1.3325714285714287, -1.9050000000000002]"
"[474, 649, 1113.0]","[0.5764091858037579, 0.8265714285714285, -1.9649999999999999]"
"[718, 639, 1253.0]","[1.6970772442588729, 1.2665714285714285, -1.915]"
"[471, 649, 1101.0]","[0.5626304801670146, 0.7888571428571429, -1.9649999999999999]"
"[468, 648, 1091.0]","[0.5488517745302715, 0.7574285714285716, -1.96]"
"[466, 649, 1090.0]","[0.5396659707724427, 0.7542857142857144, -1.9649999999999999]"
"[460, 650, 1071.0]","[0.5121085594989563, 0.6945714285714286, -1.9700000000000002]"
"[719, 660, 1476.0]","[1.7016701461377872, 1.9674285714285715, -2.02]"
"[719, 670, 1507.0]","[1.7016701461377872, 2.064857142857143, -2.0700000000000003]"
"[468, 652, 954.0]","[0.5488517745302715, 0.32685714285714296, -1.98]"
"[719, 678, 1427.0]","[1.7016701461377872, 1.8134285714285716, -2.11]"
"[417, 648, 1161.0]","[0.31461377870563667, 0.9774285714285713, -1.96]"
"[416, 667, 887.0]","[0.3100208768267223, 0.11628571428571433, -2.055]"
"[405, 691, 858.0]","[0.2594989561586638, 0.025142857142857133, -2.175]"
"[388, 704, 851.0]","[0.1814196242171191, 0.003142857142857114, -2.2399999999999998]"
"[382, 707, 848.0]","[0.15386221294363267, -0.006285714285714228, -2.255]"
"[382, 710, 848.0]","[0.15386221294363267, -0.006285714285714228, -2.27]"
"[381, 717, 847.0]","[0.1492693110647183, -0.009428571428571342, -2.305]"
"[381, 716, 850.0]","[0.1492693110647183, 0.0, -2.3000000000000003]"
"[383, 712, 851.0]","[0.15845511482254704, 0.003142857142857114, -2.2800000000000002]"
"[383, 712, 854.0]","[0.15845511482254704, 0.012571428571428456, -2.2800000000000002]"
"[379, 712, 857.0]","[0.14008350730688957, 0.02200000000000002, -2.2800000000000002]"
"[379, 714, 853.0]","[0.14008350730688957, 0.009428571428571564, -2.2900000000000005]"
"[382, 714, 854.0]","[0.15386221294363267, 0.012571428571428456, -2.2900000000000005]"
"[385, 712, 855.0]","[0.16764091858037578, 0.01571428571428557, -2.2800000000000002]"
"[386, 713, 851.0]","[0.17223382045929037, 0.003142857142857114, -2.285]"
"[389, 712, 848.0]","[0.18601252609603347, -0.006285714285714228, -2.2800000000000002]"
"[384, 710, 850.0]","[0.1630480167014614, 0.0, -2.27]"
"[381, 711, 851.0]","[0.1492693110647183, 0.003142857142857114, -2.2750000000000004]"
"[398, 701, 860.0]","[0.227348643006263, 0.03142857142857136, -2.2250000000000005]"
"[381, 711, 851.0]","[0.1492693110647183, 0.003142857142857114, -2.2750000000000004]"
"[381, 710, 850.0]","[0.1492693110647183, 0.0, -2.27]"
"[385, 709, 849.0]","[0.16764091858037578, -0.003142857142857114, -2.265]"
"[380, 708, 851.0]","[0.14467640918580393, 0.003142857142857114, -2.2600000000000002]"
"[379, 709, 844.0]","[0.14008350730688957, -0.018857142857142906, -2.265]"
"[379, 687, 860.0]","[0.14008350730688957, 0.03142857142857136, -2.1550000000000002]"
"[377, 701, 846.0]","[0.13089770354906038, -0.012571428571428678, -2.2250000000000005]"
"[363, 691, 835.0]","[0.06659707724425878, -0.04714285714285715, -2.175]"
"[407, 613, 810.0]","[0.26868475991649277, -0.12571428571428578, -1.7850000000000001]"
"[409, 566, 803.0]","[0.2778705636743215, -0.1477142857142857, -1.5500000000000003]"
"[421, 585, 886.0]","[0.33298538622129437, 0.11314285714285699, -1.6450000000000005]"
"[455, 546, 823.0]","[0.4891440501043842, -0.08485714285714296, -1.4500000000000002]"
"[468, 539, 820.0]","[0.5488517745302715, -0.0942857142857143, -1.415]"
"[478, 534, 812.0]","[0.5947807933194154, -0.11942857142857144, -1.3900000000000001]"
"[495, 526, 797.0]","[0.6728601252609603, -0.1665714285714286, -1.35]"
"[492, 535, 805.0]","[0.6590814196242172, -0.14142857142857146, -1.395]"
"[498, 533, 799.0]","[0.6866388308977034, -0.16028571428571425, -1.3850000000000002]"
"[503, 535, 796.0]","[0.7096033402922757, -0.1697142857142857, -1.395]"
"[508, 539, 793.0]","[0.7325678496868477, -0.17914285714285716, -1.415]"
"[510, 543, 789.0]","[0.7417536534446765, -0.19171428571428573, -1.435]"
"[513, 549, 783.0]","[0.7555323590814198, -0.21057142857142852, -1.4650000000000003]"
"[513, 552, 780.0]","[0.7555323590814198, -0.21999999999999997, -1.48]"
"[514, 555, 773.0]","[0.7601252609603342, -0.242, -1.495]"
"[512, 562, 767.0]","[0.7509394572025054, -0.2608571428571428, -1.5300000000000002]"
"[510, 568, 768.0]","[0.7417536534446765, -0.2577142857142858, -1.56]"
"[507, 575, 765.0]","[0.7279749478079334, -0.26714285714285724, -1.5950000000000002]"
"[506, 577, 760.0]","[0.723382045929019, -0.2828571428571428, -1.605]"
"[502, 581, 762.0]","[0.7050104384133613, -0.2765714285714286, -1.625]"
"[501, 583, 759.0]","[0.7004175365344469, -0.28600000000000003, -1.6350000000000002]"
"[501, 584, 758.0]","[0.7004175365344469, -0.28914285714285726, -1.6400000000000001]"
"[502, 585, 757.0]","[0.7050104384133613, -0.29228571428571426, -1.6450000000000005]"
"[503, 584, 754.0]","[0.7096033402922757, -0.3017142857142857, -1.6400000000000001]"
"[504, 583, 755.0]","[0.71419624217119, -0.2985714285714286, -1.6350000000000002]"
"[505, 582, 753.0]","[0.7187891440501046, -0.3048571428571428, -1.6300000000000003]"
"[503, 582, 755.0]","[0.7096033402922757, -0.2985714285714286, -1.6300000000000003]"
"[502, 582, 755.0]","[0.7050104384133613, -0.2985714285714286, -1.6300000000000003]"
"[501, 580, 758.0]","[0.7004175365344469, -0.28914285714285726, -1.62]"
"[501, 580, 759.0]","[0.7004175365344469, -0.28600000000000003, -1.62]"
"[500, 579, 762.0]","[0.6958246346555326, -0.2765714285714286, -1.6150000000000002]"
"[500, 578, 765.0]","[0.6958246346555326, -0.26714285714285724, -1.6100000000000003]"
"[499, 578, 769.0]","[0.6912317327766182, -0.25457142857142856, -1.6100000000000003]"
"[499, 577, 771.0]","[0.6912317327766182, -0.24828571428571433, -1.605]"
"[500, 577, 766.0]","[0.6958246346555326, -0.264, -1.605]"
"[499, 578, 770.0]","[0.6912317327766182, -0.25142857142857145, -1.6100000000000003]"
"[499, 579, 769.0]","[0.6912317327766182, -0.25457142857142856, -1.6150000000000002]"
"[500, 577, 767.0]","[0.6958246346555326, -0.2608571428571428, -1.605]"
"[500, 577, 767.0]","[0.6958246346555326, -0.2608571428571428, -1.605]"
"[500, 577, 769.0]","[0.6958246346555326, -0.25457142857142856, -1.605]"
"[501, 577, 769.0]","[0.7004175365344469, -0.25457142857142856, -1.605]"
"[500, 577, 771.0]","[0.6958246346555326, -0.24828571428571433, -1.605]"
"[500, 577, 766.0]","[0.6958246346555326, -0.264, -1.605]"
"[501, 576, 769.0]","[0.7004175365344469, -0.25457142857142856, -1.6]"
"[499, 577, 770.0]","[0.6912317327766182, -0.25142857142857145, -1.605]"
"[502, 576, 766.0]","[0.7050104384133613, -0.264, -1.6]"
"[500, 577, 766.0]","[0.6958246346555326, -0.264, -1.605]"
"[501, 577, 766.0]","[0.7004175365344469, -0.264, -1.605]"
"[502, 577, 767.0]","[0.7050104384133613, -0.2608571428571428, -1.605]"
"[501, 579, 767.0]","[0.7004175365344469, -0.2608571428571428, -1.6150000000000002]"
"[502, 579, 766.0]","[0.7050104384133613, -0.264, -1.6150000000000002]"
"[502, 578, 770.0]","[0.7050104384133613, -0.25142857142857145, -1.6100000000000003]"
"[502, 578, 768.0]","[0.7050104384133613, -0.2577142857142858, -1.6100000000000003]"
"[503, 578, 768.0]","[0.7096033402922757, -0.2577142857142858, -1.6100000000000003]"
"[504, 579, 768.0]","[0.71419624217119, -0.2577142857142858, -1.6150000000000002]"
"[504, 578, 769.0]","[0.71419624217119, -0.25457142857142856, -1.6100000000000003]"
"[505, 578, 765.0]","[0.7187891440501046, -0.26714285714285724, -1.6100000000000003]"
"[506, 578, 767.0]","[0.723382045929019, -0.2608571428571428, -1.6100000000000003]"
"[506, 578, 767.0]","[0.723382045929019, -0.2608571428571428, -1.6100000000000003]"
"[505, 578, 771.0]","[0.7187891440501046, -0.24828571428571433, -1.6100000000000003]"
"[508, 578, 770.0]","[0.7325678496868477, -0.25142857142857145, -1.6100000000000003]"
"[514, 575, 772.0]","[0.7601252609603342, -0.24514285714285722, -1.5950000000000002]"
"[518, 572, 773.0]","[0.7784968684759916, -0.242, -1.58]"
"[523, 567, 778.0]","[0.8014613778705637, -0.2262857142857143, -1.5550000000000002]"
"[525, 557, 799.0]","[0.8106471816283927, -0.16028571428571425, -1.505]"
"[525, 547, 813.0]","[0.8106471816283927, -0.11628571428571433, -1.455]"
"[528, 528, 831.0]","[0.8244258872651358, -0.05971428571428561, -1.3599999999999999]"
"[528, 508, 840.0]","[0.8244258872651358, -0.03142857142857136, -1.2600000000000002]"
"[540, 454, 855.0]","[0.8795407098121086, 0.01571428571428557, -0.9899999999999998]"
"[529, 476, 857.0]","[0.8290187891440501, 0.02200000000000002, -1.1]"
"[534, 440, 888.0]","[0.8519832985386222, 0.11942857142857144, -0.9199999999999999]"
"[554, 403, 897.0]","[0.9438413361169102, 0.1477142857142857, -0.7350000000000001]"
"[543, 418, 901.0]","[0.8933194154488517, 0.16028571428571436, -0.81]"
"[551, 400, 914.0]","[0.9300626304801671, 0.20114285714285707, -0.72]"
"[560, 389, 927.0]","[0.9713987473903969, 0.242, -0.665]"
"[569, 379, 950.0]","[1.0127348643006262, 0.3142857142857145, -0.615]"
"[573, 376, 960.0]","[1.0311064718162841, 0.34571428571428564, -0.6000000000000001]"
"[578, 374, 979.0]","[1.054070981210856, 0.40542857142857147, -0.5900000000000001]"
"[581, 374, 987.0]","[1.067849686847599, 0.4305714285714286, -0.5900000000000001]"
"[585, 374, 990.0]","[1.086221294363257, 0.43999999999999995, -0.5900000000000001]"
"[589, 375, 984.0]","[1.1045929018789145, 0.42114285714285704, -0.5950000000000002]"
"[592, 376, 987.0]","[1.1183716075156576, 0.4305714285714286, -0.6000000000000001]"
"[599, 379, 982.0]","[1.1505219206680586, 0.41485714285714304, -0.615]"
"[603, 380, 982.0]","[1.168893528183716, 0.41485714285714304, -0.6200000000000001]"
"[611, 387, 981.0]","[1.2056367432150314, 0.4117142857142857, -0.655]"
"[613, 390, 985.0]","[1.2148225469728602, 0.4242857142857144, -0.6700000000000002]"
"[616, 397, 978.0]","[1.2286012526096033, 0.40228571428571436, -0.7050000000000001]"
"[617, 400, 969.0]","[1.2331941544885177, 0.3740000000000001, -0.72]"
"[616, 403, 969.0]","[1.2286012526096033, 0.3740000000000001, -0.7350000000000001]"
"[612, 407, 958.0]","[1.2102296450939458, 0.3394285714285714, -0.7549999999999999]"
"[610, 408, 952.0]","[1.201043841336117, 0.3205714285714285, -0.76]"
"[602, 412, 939.0]","[1.1643006263048017, 0.2797142857142856, -0.78]"
"[598, 413, 936.0]","[1.1459290187891442, 0.27028571428571446, -0.7850000000000001]"
"[591, 410, 917.0]","[1.1137787056367432, 0.21057142857142863, -0.77]"
"[586, 408, 911.0]","[1.0908141962421714, 0.19171428571428573, -0.76]"
"[583, 403, 894.0]","[1.0770354906054278, 0.13828571428571435, -0.7350000000000001]"
"[578, 391, 865.0]","[1.054070981210856, 0.04714285714285715, -0.675]"
"[576, 381, 854.0]","[1.0448851774530272, 0.012571428571428456, -0.625]"
"[569, 365, 843.0]","[1.0127348643006262, -0.02200000000000002, -0.5449999999999999]"
"[569, 351, 834.0]","[1.0127348643006262, -0.05028571428571427, -0.4750000000000001]"
"[564, 331, 823.0]","[0.9897703549060544, -0.08485714285714296, -0.375]"
"[565, 314, 816.0]","[0.9943632567849687, -0.10685714285714287, -0.29000000000000004]"
"[565, 299, 811.0]","[0.9943632567849687, -0.12257142857142855, -0.21500000000000008]"
"[560, 278, 807.0]","[0.9713987473903969, -0.13514285714285723, -0.1100000000000001]"
"[562, 260, 800.0]","[0.9805845511482256, -0.15714285714285725, -0.019999999999999796]"
"[559, 238, 794.0]","[0.9668058455114825, -0.17600000000000005, 0.09000000000000008]"
"[561, 222, 790.0]","[0.9759916492693113, -0.1885714285714285, 0.17000000000000004]"
"[559, 201, 788.0]","[0.9668058455114825, -0.19485714285714284, 0.275]"
"[559, 191, 787.0]","[0.9668058455114825, -0.19800000000000006, 0.32499999999999996]"
"[559, 180, 786.0]","[0.9668058455114825, -0.20114285714285718, 0.38]"
"[558, 162, 784.0]","[0.9622129436325677, -0.20742857142857152, 0.47]"
"[558, 155, 781.0]","[0.9622129436325677, -0.21685714285714286, 0.505]"
"[558, 140, 781.0]","[0.9622129436325677, -0.21685714285714286, 0.5800000000000001]"
"[719, 646, 1046.0]","[1.7016701461377872, 0.6160000000000001, -1.9500000000000002]"
"[555, 130, 780.0]","[0.9484342379958246, -0.21999999999999997, 0.6300000000000001]"
"[719, 643, 1037.0]","[1.7016701461377872, 0.5877142857142856, -1.9350000000000005]"
"[554, 121, 783.0]","[0.9438413361169102, -0.21057142857142852, 0.675]"
"[719, 642, 1046.0]","[1.7016701461377872, 0.6160000000000001, -1.9300000000000002]"
"[553, 119, 784.0]","[0.9392484342379959, -0.20742857142857152, 0.685]"
"[719, 638, 1035.0]","[1.7016701461377872, 0.5814285714285714, -1.9100000000000001]"
"[719, 636, 1037.0]","[1.7016701461377872, 0.5877142857142856, -1.9]"
"[719, 636, 1040.0]","[1.7016701461377872, 0.5971428571428572, -1.9]"
"[554, 113, 800.0]","[0.9438413361169102, -0.15714285714285725, 0.7150000000000001]"
"[719, 636, 1041.0]","[1.7016701461377872, 0.6002857142857145, -1.9]"
"[719, 636, 1041.0]","[1.7016701461377872, 0.6002857142857145, -1.9]"
"[555, 116, 807.0]","[0.9484342379958246, -0.13514285714285723, 0.7000000000000001]"
"[719, 636, 1043.0]","[1.7016701461377872, 0.6065714285714285, -1.9]"
"[555, 117, 809.0]","[0.9484342379958246, -0.12885714285714278, 0.6950000000000001]"
"[719, 637, 1044.0]","[1.7016701461377872, 0.6097142857142857, -1.9050000000000002]"
"[555, 118, 809.0]","[0.9484342379958246, -0.12885714285714278, 0.6900000000000001]"
"[719, 639, 1034.0]","[1.7016701461377872, 0.5782857142857145, -1.915]"
"[556, 117, 813.0]","[0.953027139874739, -0.11628571428571433, 0.6950000000000001]"
"[719, 640, 1043.0]","[1.7016701461377872, 0.6065714285714285, -1.9200000000000004]"
"[556, 116, 816.0]","[0.953027139874739, -0.10685714285714287, 0.7000000000000001]"
"[719, 642, 1037.0]","[1.7016701461377872, 0.5877142857142856, -1.9300000000000002]"
"[719, 641, 1039.0]","[1.7016701461377872, 0.5940000000000001, -1.9250000000000003]"
"[556, 117, 820.0]","[0.953027139874739, -0.0942857142857143, 0.6950000000000001]"
